DATUM_ABSTIMMUNG,VORLAGE_BEZEICHNUNG,VORLAGEART_CODE,VORLAGEART_BEZEICHNUNG,BEZIRK_NR,BEZIRK_NAME,BFS_NR_GEMEINDE,GEMEINDE_NAME,STIMMBERECHTIGTE,EINGELEGTE_STIMMZETTEL,LEERE_STIMMEN,UNGUELTIGE_STIMMEN,GUELTIGE_STIMMEN,JA_STIMMEN,NEIN_STIMMEN,STIMMBETEILIGUNG
12.03.2000,1,3,Obligatorisches Referendum,2004,Frauenfeld,4551,Aadorf,4820,1794,,,1666,1414,252,37.2
12.03.2000,1,3,Obligatorisches Referendum,2006,M�nchwilen,4711,Affeltrangen,1396,617,,,577,449,128,44.2
12.03.2000,1,3,Obligatorisches Referendum,2005,Kreuzlingen,4641,Altnau,1121,464,,,446,374,72,41.4
12.03.2000,1,3,Obligatorisches Referendum,2008,Weinfelden,4881,Amlikon-Bissegg,791,377,,,363,305,58,47.7
12.03.2000,1,3,Obligatorisches Referendum,2002,Bischofszell,4461,Amriswil,6545,2109,,,2027,1693,334,32.2
12.03.2000,1,3,Obligatorisches Referendum,2001,Arbon,4401,Arbon,7602,2537,,,2386,2032,354,33.4
12.03.2000,1,3,Obligatorisches Referendum,2003,Diessenhofen,4536,Basadingen-Schlattingen,1051,477,,,447,334,113,45.4
12.03.2000,1,3,Obligatorisches Referendum,2008,Weinfelden,4891,Berg,1847,788,,,749,635,114,42.7
12.03.2000,1,3,Obligatorisches Referendum,2007,Steckborn,4801,Berlingen,546,267,,,255,203,52,48.9
12.03.2000,1,3,Obligatorisches Referendum,2006,M�nchwilen,4716,Bettwiesen,552,231,,,221,177,44,41.8
12.03.2000,1,3,Obligatorisches Referendum,2006,M�nchwilen,4721,Bichelsee-Balterswil,1601,633,,,604,489,115,39.5
12.03.2000,1,3,Obligatorisches Referendum,2008,Weinfelden,4901,Birwinken,844,397,,,366,291,75,47
12.03.2000,1,3,Obligatorisches Referendum,2002,Bischofszell,4471,Bischofszell,3332,1504,,,1393,1187,206,45.1
12.03.2000,1,3,Obligatorisches Referendum,2005,Kreuzlingen,4643,Bottighofen,1112,486,,,467,404,63,43.7
12.03.2000,1,3,Obligatorisches Referendum,2006,M�nchwilen,4723,Braunau,470,215,,,210,151,59,45.7
12.03.2000,1,3,Obligatorisches Referendum,2008,Weinfelden,4911,B�rglen (TG),1832,687,,,660,569,91,37.5
12.03.2000,1,3,Obligatorisches Referendum,2008,Weinfelden,4921,Bussnang,1424,837,,,786,615,171,58.8
12.03.2000,1,3,Obligatorisches Referendum,2003,Diessenhofen,4545,Diessenhofen,1869,796,,,773,635,138,42.6
12.03.2000,1,3,Obligatorisches Referendum,2001,Arbon,4406,Dozwil,341,206,,,188,132,56,60.4
12.03.2000,1,3,Obligatorisches Referendum,2001,Arbon,4411,Egnach,2636,1113,,,1037,872,165,42.2
12.03.2000,1,3,Obligatorisches Referendum,2002,Bischofszell,4476,Erlen,1864,688,,,636,527,109,36.9
12.03.2000,1,3,Obligatorisches Referendum,2005,Kreuzlingen,4646,Ermatingen,1656,760,,,718,581,137,45.9
12.03.2000,1,3,Obligatorisches Referendum,2007,Steckborn,4806,Eschenz,1001,467,,,446,348,98,46.7
12.03.2000,1,3,Obligatorisches Referendum,2006,M�nchwilen,4724,Eschlikon,2127,856,,,831,695,136,40.2
12.03.2000,1,3,Obligatorisches Referendum,2004,Frauenfeld,4561,Felben-Wellhausen,1343,536,,,513,439,74,39.9
12.03.2000,1,3,Obligatorisches Referendum,2006,M�nchwilen,4726,Fischingen,1785,782,,,747,559,188,43.8
12.03.2000,1,3,Obligatorisches Referendum,2004,Frauenfeld,4566,Frauenfeld,13216,5019,,,4761,4153,608,38
12.03.2000,1,3,Obligatorisches Referendum,2004,Frauenfeld,4571,Gachnang,1990,827,,,796,693,103,41.6
12.03.2000,1,3,Obligatorisches Referendum,2005,Kreuzlingen,4651,Gottlieben,179,79,,,76,65,11,44.1
12.03.2000,1,3,Obligatorisches Referendum,2005,Kreuzlingen,4656,G�ttingen,854,353,,,342,287,55,41.3
12.03.2000,1,3,Obligatorisches Referendum,2002,Bischofszell,4486,Hauptwil-Gottshaus,1201,488,,,451,362,89,40.6
12.03.2000,1,3,Obligatorisches Referendum,2001,Arbon,4416,Hefenhofen,748,273,,,254,204,50,36.5
12.03.2000,1,3,Obligatorisches Referendum,2007,Steckborn,4811,Herdern,607,273,,,265,214,51,45
12.03.2000,1,3,Obligatorisches Referendum,2002,Bischofszell,4495,Hohentannen,381,151,,,141,108,33,39.6
12.03.2000,1,3,Obligatorisches Referendum,2007,Steckborn,4816,Homburg,1004,506,,,479,365,114,50.4
12.03.2000,1,3,Obligatorisches Referendum,2001,Arbon,4421,Horn,1556,641,,,623,571,52,41.2
12.03.2000,1,3,Obligatorisches Referendum,2004,Frauenfeld,4590,H�ttlingen,570,296,,,281,206,75,51.9
12.03.2000,1,3,Obligatorisches Referendum,2007,Steckborn,4821,H�ttwilen,955,475,,,458,386,72,49.7
12.03.2000,1,3,Obligatorisches Referendum,2005,Kreuzlingen,4666,Kemmental,1476,618,,,569,444,125,41.9
12.03.2000,1,3,Obligatorisches Referendum,2001,Arbon,4426,Kesswil,570,286,,,278,239,39,50.2
12.03.2000,1,3,Obligatorisches Referendum,2002,Bischofszell,4501,Kradolf-Sch�nenberg,1800,643,,,604,523,81,35.7
12.03.2000,1,3,Obligatorisches Referendum,2005,Kreuzlingen,4671,Kreuzlingen,8575,4051,,,3558,3055,503,47.2
12.03.2000,1,3,Obligatorisches Referendum,2005,Kreuzlingen,4681,Langrickenbach,722,333,,,319,273,46,46.1
12.03.2000,1,3,Obligatorisches Referendum,2005,Kreuzlingen,4683,Lengwil,764,299,,,286,244,42,39.1
12.03.2000,1,3,Obligatorisches Referendum,2006,M�nchwilen,4741,Lommis,614,361,,,349,275,74,58.8
12.03.2000,1,3,Obligatorisches Referendum,2007,Steckborn,4826,Mammern,305,142,,,139,109,30,46.6
12.03.2000,1,3,Obligatorisches Referendum,2008,Weinfelden,4941,M�rstetten,1539,650,,,623,535,88,42.2
12.03.2000,1,3,Obligatorisches Referendum,2004,Frauenfeld,4591,Matzingen,1393,555,,,504,425,79,39.8
12.03.2000,1,3,Obligatorisches Referendum,2007,Steckborn,4831,M�llheim,1469,509,,,474,389,85,34.6
12.03.2000,1,3,Obligatorisches Referendum,2006,M�nchwilen,4746,M�nchwilen (TG),2653,973,,,931,774,157,36.7
12.03.2000,1,3,Obligatorisches Referendum,2005,Kreuzlingen,4691,M�nsterlingen,1310,567,,,542,462,80,43.3
12.03.2000,1,3,Obligatorisches Referendum,2004,Frauenfeld,4601,Neunforn,681,322,,,298,259,39,47.3
12.03.2000,1,3,Obligatorisches Referendum,2007,Steckborn,4841,Pfyn,1133,493,,,476,390,86,43.5
12.03.2000,1,3,Obligatorisches Referendum,2007,Steckborn,4846,Raperswilen,290,149,,,143,112,31,51.4
12.03.2000,1,3,Obligatorisches Referendum,2006,M�nchwilen,4751,Rickenbach (TG),1362,497,,,485,408,77,36.5
12.03.2000,1,3,Obligatorisches Referendum,2001,Arbon,4431,Roggwil (TG),1644,638,,,602,508,94,38.8
12.03.2000,1,3,Obligatorisches Referendum,2001,Arbon,4436,Romanshorn,5444,2213,,,2109,1817,292,40.7
12.03.2000,1,3,Obligatorisches Referendum,2007,Steckborn,4851,Salenstein,746,321,,,318,236,82,43
12.03.2000,1,3,Obligatorisches Referendum,2001,Arbon,4441,Salmsach,791,277,,,258,214,44,35
12.03.2000,1,3,Obligatorisches Referendum,2003,Diessenhofen,4546,Schlatt (TG),1017,441,,,420,334,86,43.4
12.03.2000,1,3,Obligatorisches Referendum,2006,M�nchwilen,4756,Sch�nholzerswilen,517,236,,,231,176,55,45.6
12.03.2000,1,3,Obligatorisches Referendum,2006,M�nchwilen,4761,Sirnach,3693,1423,,,1332,1074,258,38.5
12.03.2000,1,3,Obligatorisches Referendum,2001,Arbon,4446,Sommeri,352,174,,,167,127,40,49.4
12.03.2000,1,3,Obligatorisches Referendum,2007,Steckborn,4864,Steckborn,1993,825,,,770,650,120,41.4
12.03.2000,1,3,Obligatorisches Referendum,2004,Frauenfeld,4606,Stettfurt,685,287,,,278,243,35,41.9
12.03.2000,1,3,Obligatorisches Referendum,2002,Bischofszell,4506,Sulgen,2039,861,,,813,681,132,42.2
12.03.2000,1,3,Obligatorisches Referendum,2005,Kreuzlingen,4696,T�gerwilen,1933,776,,,745,624,121,40.1
12.03.2000,1,3,Obligatorisches Referendum,2004,Frauenfeld,4611,Thundorf,849,342,,,334,270,64,40.3
12.03.2000,1,3,Obligatorisches Referendum,2006,M�nchwilen,4776,Tobel-T�gerschen,851,332,,,319,240,79,39
12.03.2000,1,3,Obligatorisches Referendum,2004,Frauenfeld,4616,Uesslingen-Buch,753,338,,,324,264,60,44.9
12.03.2000,1,3,Obligatorisches Referendum,2001,Arbon,4451,Uttwil,956,406,,,394,328,66,42.5
12.03.2000,1,3,Obligatorisches Referendum,2007,Steckborn,4871,Wagenhausen,1031,445,,,408,318,90,43.2
12.03.2000,1,3,Obligatorisches Referendum,2005,Kreuzlingen,4701,W�ldi,620,303,,,291,214,77,48.9
12.03.2000,1,3,Obligatorisches Referendum,2006,M�nchwilen,4781,W�ngi,2552,1072,,,1013,825,188,42
12.03.2000,1,3,Obligatorisches Referendum,2004,Frauenfeld,4621,Warth-Weiningen,814,399,,,376,315,61,49
12.03.2000,1,3,Obligatorisches Referendum,2008,Weinfelden,4946,Weinfelden,6207,2761,,,2562,2175,387,44.5
12.03.2000,1,3,Obligatorisches Referendum,2008,Weinfelden,4951,Wigoltingen,1385,567,,,542,433,109,40.9
12.03.2000,1,3,Obligatorisches Referendum,2006,M�nchwilen,4786,Wilen (TG),1187,418,,,408,342,66,35.2
12.03.2000,1,3,Obligatorisches Referendum,2006,M�nchwilen,4791,Wuppenau,727,331,,,317,236,81,45.5
12.03.2000,1,3,Obligatorisches Referendum,2002,Bischofszell,4511,Zihlschlacht-Sitterdorf,1249,576,,,546,456,90,46.1
12.03.2000,2,1,Volksinitiative,2004,Frauenfeld,4551,Aadorf,4820,1805,,,1712,574,1138,37.4
12.03.2000,2,1,Volksinitiative,2006,M�nchwilen,4711,Affeltrangen,1396,616,,,593,196,397,44.1
12.03.2000,2,1,Volksinitiative,2005,Kreuzlingen,4641,Altnau,1121,462,,,447,128,319,41.2
12.03.2000,2,1,Volksinitiative,2008,Weinfelden,4881,Amlikon-Bissegg,791,376,,,372,111,261,47.5
12.03.2000,2,1,Volksinitiative,2002,Bischofszell,4461,Amriswil,6545,2117,,,2071,681,1390,32.3
12.03.2000,2,1,Volksinitiative,2001,Arbon,4401,Arbon,7602,2546,,,2448,870,1578,33.5
12.03.2000,2,1,Volksinitiative,2003,Diessenhofen,4536,Basadingen-Schlattingen,1051,478,,,462,136,326,45.5
12.03.2000,2,1,Volksinitiative,2008,Weinfelden,4891,Berg,1847,792,,,770,258,512,42.9
12.03.2000,2,1,Volksinitiative,2007,Steckborn,4801,Berlingen,546,267,,,259,81,178,48.9
12.03.2000,2,1,Volksinitiative,2006,M�nchwilen,4716,Bettwiesen,552,234,,,230,85,145,42.4
12.03.2000,2,1,Volksinitiative,2006,M�nchwilen,4721,Bichelsee-Balterswil,1601,640,,,619,187,432,40
12.03.2000,2,1,Volksinitiative,2008,Weinfelden,4901,Birwinken,844,397,,,378,152,226,47
12.03.2000,2,1,Volksinitiative,2002,Bischofszell,4471,Bischofszell,3332,1499,,,1427,396,1031,45
12.03.2000,2,1,Volksinitiative,2005,Kreuzlingen,4643,Bottighofen,1112,487,,,474,129,345,43.8
12.03.2000,2,1,Volksinitiative,2006,M�nchwilen,4723,Braunau,470,215,,,212,68,144,45.7
12.03.2000,2,1,Volksinitiative,2008,Weinfelden,4911,B�rglen (TG),1832,687,,,673,210,463,37.5
12.03.2000,2,1,Volksinitiative,2008,Weinfelden,4921,Bussnang,1424,841,,,803,251,552,59.1
12.03.2000,2,1,Volksinitiative,2003,Diessenhofen,4545,Diessenhofen,1869,787,,,771,241,530,42.1
12.03.2000,2,1,Volksinitiative,2001,Arbon,4406,Dozwil,341,206,,,202,102,100,60.4
12.03.2000,2,1,Volksinitiative,2001,Arbon,4411,Egnach,2636,1113,,,1072,335,737,42.2
12.03.2000,2,1,Volksinitiative,2002,Bischofszell,4476,Erlen,1864,693,,,661,225,436,37.2
12.03.2000,2,1,Volksinitiative,2005,Kreuzlingen,4646,Ermatingen,1656,762,,,741,220,521,46
12.03.2000,2,1,Volksinitiative,2007,Steckborn,4806,Eschenz,1001,469,,,461,159,302,46.9
12.03.2000,2,1,Volksinitiative,2006,M�nchwilen,4724,Eschlikon,2127,860,,,846,295,551,40.4
12.03.2000,2,1,Volksinitiative,2004,Frauenfeld,4561,Felben-Wellhausen,1343,540,,,528,153,375,40.2
12.03.2000,2,1,Volksinitiative,2006,M�nchwilen,4726,Fischingen,1785,787,,,773,256,517,44.1
12.03.2000,2,1,Volksinitiative,2004,Frauenfeld,4566,Frauenfeld,13216,5528,,,5371,1537,3834,41.8
12.03.2000,2,1,Volksinitiative,2004,Frauenfeld,4571,Gachnang,1990,825,,,812,295,517,41.5
12.03.2000,2,1,Volksinitiative,2005,Kreuzlingen,4651,Gottlieben,179,79,,,75,25,50,44.1
12.03.2000,2,1,Volksinitiative,2005,Kreuzlingen,4656,G�ttingen,854,355,,,343,121,222,41.6
12.03.2000,2,1,Volksinitiative,2002,Bischofszell,4486,Hauptwil-Gottshaus,1201,497,,,471,162,309,41.4
12.03.2000,2,1,Volksinitiative,2001,Arbon,4416,Hefenhofen,748,274,,,261,78,183,36.6
12.03.2000,2,1,Volksinitiative,2007,Steckborn,4811,Herdern,607,274,,,266,59,207,45.1
12.03.2000,2,1,Volksinitiative,2002,Bischofszell,4495,Hohentannen,381,151,,,144,33,111,39.6
12.03.2000,2,1,Volksinitiative,2007,Steckborn,4816,Homburg,1004,507,,,489,126,363,50.5
12.03.2000,2,1,Volksinitiative,2001,Arbon,4421,Horn,1556,639,,,628,162,466,41.1
12.03.2000,2,1,Volksinitiative,2004,Frauenfeld,4590,H�ttlingen,570,298,,,290,84,206,52.3
12.03.2000,2,1,Volksinitiative,2007,Steckborn,4821,H�ttwilen,955,479,,,470,123,347,50.2
12.03.2000,2,1,Volksinitiative,2005,Kreuzlingen,4666,Kemmental,1476,623,,,590,201,389,42.2
12.03.2000,2,1,Volksinitiative,2001,Arbon,4426,Kesswil,570,288,,,285,97,188,50.5
12.03.2000,2,1,Volksinitiative,2002,Bischofszell,4501,Kradolf-Sch�nenberg,1800,650,,,626,191,435,36.1
12.03.2000,2,1,Volksinitiative,2005,Kreuzlingen,4671,Kreuzlingen,8575,3749,,,3348,1226,2122,43.7
12.03.2000,2,1,Volksinitiative,2005,Kreuzlingen,4681,Langrickenbach,722,333,,,325,107,218,46.1
12.03.2000,2,1,Volksinitiative,2005,Kreuzlingen,4683,Lengwil,764,295,,,292,93,199,38.6
12.03.2000,2,1,Volksinitiative,2006,M�nchwilen,4741,Lommis,614,361,,,353,136,217,58.8
12.03.2000,2,1,Volksinitiative,2007,Steckborn,4826,Mammern,305,142,,,141,41,100,46.6
12.03.2000,2,1,Volksinitiative,2008,Weinfelden,4941,M�rstetten,1539,649,,,638,190,448,42.2
12.03.2000,2,1,Volksinitiative,2004,Frauenfeld,4591,Matzingen,1393,555,,,516,184,332,39.8
12.03.2000,2,1,Volksinitiative,2007,Steckborn,4831,M�llheim,1469,509,,,486,165,321,34.6
12.03.2000,2,1,Volksinitiative,2006,M�nchwilen,4746,M�nchwilen (TG),2653,976,,,960,292,668,36.8
12.03.2000,2,1,Volksinitiative,2005,Kreuzlingen,4691,M�nsterlingen,1310,567,,,552,155,397,43.3
12.03.2000,2,1,Volksinitiative,2004,Frauenfeld,4601,Neunforn,681,322,,,312,107,205,47.3
12.03.2000,2,1,Volksinitiative,2007,Steckborn,4841,Pfyn,1133,496,,,485,174,311,43.8
12.03.2000,2,1,Volksinitiative,2007,Steckborn,4846,Raperswilen,290,142,,,138,37,101,49
12.03.2000,2,1,Volksinitiative,2006,M�nchwilen,4751,Rickenbach (TG),1362,503,,,497,179,318,36.9
12.03.2000,2,1,Volksinitiative,2001,Arbon,4431,Roggwil (TG),1644,643,,,630,253,377,39.1
12.03.2000,2,1,Volksinitiative,2001,Arbon,4436,Romanshorn,5444,2219,,,2151,672,1479,40.8
12.03.2000,2,1,Volksinitiative,2007,Steckborn,4851,Salenstein,746,321,,,320,81,239,43
12.03.2000,2,1,Volksinitiative,2001,Arbon,4441,Salmsach,791,277,,,271,98,173,35
12.03.2000,2,1,Volksinitiative,2003,Diessenhofen,4546,Schlatt (TG),1017,444,,,428,164,264,43.7
12.03.2000,2,1,Volksinitiative,2006,M�nchwilen,4756,Sch�nholzerswilen,517,237,,,234,64,170,45.8
12.03.2000,2,1,Volksinitiative,2006,M�nchwilen,4761,Sirnach,3693,1439,,,1361,464,897,39
12.03.2000,2,1,Volksinitiative,2001,Arbon,4446,Sommeri,352,174,,,168,59,109,49.4
12.03.2000,2,1,Volksinitiative,2007,Steckborn,4864,Steckborn,1993,826,,,795,253,542,41.4
12.03.2000,2,1,Volksinitiative,2004,Frauenfeld,4606,Stettfurt,685,288,,,282,77,205,42
12.03.2000,2,1,Volksinitiative,2002,Bischofszell,4506,Sulgen,2039,863,,,839,274,565,42.3
12.03.2000,2,1,Volksinitiative,2005,Kreuzlingen,4696,T�gerwilen,1933,776,,,749,203,546,40.1
12.03.2000,2,1,Volksinitiative,2004,Frauenfeld,4611,Thundorf,849,342,,,340,120,220,40.3
12.03.2000,2,1,Volksinitiative,2006,M�nchwilen,4776,Tobel-T�gerschen,851,333,,,328,142,186,39.1
12.03.2000,2,1,Volksinitiative,2004,Frauenfeld,4616,Uesslingen-Buch,753,340,,,333,84,249,45.2
12.03.2000,2,1,Volksinitiative,2001,Arbon,4451,Uttwil,956,406,,,401,132,269,42.5
12.03.2000,2,1,Volksinitiative,2007,Steckborn,4871,Wagenhausen,1031,444,,,430,122,308,43.1
12.03.2000,2,1,Volksinitiative,2005,Kreuzlingen,4701,W�ldi,620,302,,,295,99,196,48.7
12.03.2000,2,1,Volksinitiative,2006,M�nchwilen,4781,W�ngi,2552,1073,,,1037,305,732,42
12.03.2000,2,1,Volksinitiative,2004,Frauenfeld,4621,Warth-Weiningen,814,397,,,385,119,266,48.8
12.03.2000,2,1,Volksinitiative,2008,Weinfelden,4946,Weinfelden,6207,2765,,,2613,798,1815,44.5
12.03.2000,2,1,Volksinitiative,2008,Weinfelden,4951,Wigoltingen,1385,567,,,551,185,366,40.9
12.03.2000,2,1,Volksinitiative,2006,M�nchwilen,4786,Wilen (TG),1187,431,,,426,139,287,36.3
12.03.2000,2,1,Volksinitiative,2006,M�nchwilen,4791,Wuppenau,727,334,,,322,121,201,45.9
12.03.2000,2,1,Volksinitiative,2002,Bischofszell,4511,Zihlschlacht-Sitterdorf,1249,579,,,563,186,377,46.4
12.03.2000,3,1,Volksinitiative,2004,Frauenfeld,4551,Aadorf,4820,1810,,,1734,305,1429,37.6
12.03.2000,3,1,Volksinitiative,2006,M�nchwilen,4711,Affeltrangen,1396,616,,,595,74,521,44.1
12.03.2000,3,1,Volksinitiative,2005,Kreuzlingen,4641,Altnau,1121,463,,,459,110,349,41.3
12.03.2000,3,1,Volksinitiative,2008,Weinfelden,4881,Amlikon-Bissegg,791,381,,,380,31,349,48.2
12.03.2000,3,1,Volksinitiative,2002,Bischofszell,4461,Amriswil,6545,2127,,,2103,368,1735,32.5
12.03.2000,3,1,Volksinitiative,2001,Arbon,4401,Arbon,7602,2558,,,2503,481,2022,33.6
12.03.2000,3,1,Volksinitiative,2003,Diessenhofen,4536,Basadingen-Schlattingen,1051,478,,,471,71,400,45.5
12.03.2000,3,1,Volksinitiative,2008,Weinfelden,4891,Berg,1847,793,,,783,125,658,42.9
12.03.2000,3,1,Volksinitiative,2007,Steckborn,4801,Berlingen,546,267,,,263,67,196,48.9
12.03.2000,3,1,Volksinitiative,2006,M�nchwilen,4716,Bettwiesen,552,237,,,232,30,202,42.9
12.03.2000,3,1,Volksinitiative,2006,M�nchwilen,4721,Bichelsee-Balterswil,1601,638,,,628,80,548,39.9
12.03.2000,3,1,Volksinitiative,2008,Weinfelden,4901,Birwinken,844,392,,,378,57,321,46.4
12.03.2000,3,1,Volksinitiative,2002,Bischofszell,4471,Bischofszell,3332,1506,,,1449,259,1190,45.2
12.03.2000,3,1,Volksinitiative,2005,Kreuzlingen,4643,Bottighofen,1112,490,,,486,68,418,44.1
12.03.2000,3,1,Volksinitiative,2006,M�nchwilen,4723,Braunau,470,215,,,214,34,180,45.7
12.03.2000,3,1,Volksinitiative,2008,Weinfelden,4911,B�rglen (TG),1832,693,,,685,127,558,37.8
12.03.2000,3,1,Volksinitiative,2008,Weinfelden,4921,Bussnang,1424,843,,,824,140,684,59.2
12.03.2000,3,1,Volksinitiative,2003,Diessenhofen,4545,Diessenhofen,1869,804,,,803,144,659,43
12.03.2000,3,1,Volksinitiative,2001,Arbon,4406,Dozwil,341,207,,,203,39,164,60.7
12.03.2000,3,1,Volksinitiative,2001,Arbon,4411,Egnach,2636,1118,,,1087,243,844,42.4
12.03.2000,3,1,Volksinitiative,2002,Bischofszell,4476,Erlen,1864,698,,,676,98,578,37.4
12.03.2000,3,1,Volksinitiative,2005,Kreuzlingen,4646,Ermatingen,1656,763,,,750,115,635,46.1
12.03.2000,3,1,Volksinitiative,2007,Steckborn,4806,Eschenz,1001,470,,,462,72,390,47
12.03.2000,3,1,Volksinitiative,2006,M�nchwilen,4724,Eschlikon,2127,864,,,860,195,665,40.6
12.03.2000,3,1,Volksinitiative,2004,Frauenfeld,4561,Felben-Wellhausen,1343,541,,,539,75,464,40.3
12.03.2000,3,1,Volksinitiative,2006,M�nchwilen,4726,Fischingen,1785,789,,,789,111,678,44.2
12.03.2000,3,1,Volksinitiative,2004,Frauenfeld,4566,Frauenfeld,13216,5563,,,5485,1304,4181,42.1
12.03.2000,3,1,Volksinitiative,2004,Frauenfeld,4571,Gachnang,1990,831,,,826,144,682,41.8
12.03.2000,3,1,Volksinitiative,2005,Kreuzlingen,4651,Gottlieben,179,79,,,78,8,70,44.1
12.03.2000,3,1,Volksinitiative,2005,Kreuzlingen,4656,G�ttingen,854,358,,,352,67,285,41.9
12.03.2000,3,1,Volksinitiative,2002,Bischofszell,4486,Hauptwil-Gottshaus,1201,496,,,477,79,398,41.3
12.03.2000,3,1,Volksinitiative,2001,Arbon,4416,Hefenhofen,748,275,,,265,44,221,36.8
12.03.2000,3,1,Volksinitiative,2007,Steckborn,4811,Herdern,607,275,,,274,35,239,45.3
12.03.2000,3,1,Volksinitiative,2002,Bischofszell,4495,Hohentannen,381,153,,,150,20,130,40.2
12.03.2000,3,1,Volksinitiative,2007,Steckborn,4816,Homburg,1004,507,,,501,63,438,50.5
12.03.2000,3,1,Volksinitiative,2001,Arbon,4421,Horn,1556,644,,,637,121,516,41.4
12.03.2000,3,1,Volksinitiative,2004,Frauenfeld,4590,H�ttlingen,570,297,,,295,47,248,52.1
12.03.2000,3,1,Volksinitiative,2007,Steckborn,4821,H�ttwilen,955,479,,,473,77,396,50.2
12.03.2000,3,1,Volksinitiative,2005,Kreuzlingen,4666,Kemmental,1476,625,,,602,76,526,42.3
12.03.2000,3,1,Volksinitiative,2001,Arbon,4426,Kesswil,570,288,,,284,54,230,50.5
12.03.2000,3,1,Volksinitiative,2002,Bischofszell,4501,Kradolf-Sch�nenberg,1800,661,,,645,104,541,36.7
12.03.2000,3,1,Volksinitiative,2005,Kreuzlingen,4671,Kreuzlingen,8575,4070,,,3737,800,2937,47.5
12.03.2000,3,1,Volksinitiative,2005,Kreuzlingen,4681,Langrickenbach,722,335,,,333,65,268,46.4
12.03.2000,3,1,Volksinitiative,2005,Kreuzlingen,4683,Lengwil,764,300,,,299,65,234,39.3
12.03.2000,3,1,Volksinitiative,2006,M�nchwilen,4741,Lommis,614,363,,,358,33,325,59.1
12.03.2000,3,1,Volksinitiative,2007,Steckborn,4826,Mammern,305,142,,,142,14,128,46.6
12.03.2000,3,1,Volksinitiative,2008,Weinfelden,4941,M�rstetten,1539,652,,,647,103,544,42.4
12.03.2000,3,1,Volksinitiative,2004,Frauenfeld,4591,Matzingen,1393,507,,,481,29,452,36.4
12.03.2000,3,1,Volksinitiative,2007,Steckborn,4831,M�llheim,1469,516,,,499,51,448,35.1
12.03.2000,3,1,Volksinitiative,2006,M�nchwilen,4746,M�nchwilen (TG),2653,988,,,979,134,845,37.2
12.03.2000,3,1,Volksinitiative,2005,Kreuzlingen,4691,M�nsterlingen,1310,567,,,555,140,415,43.3
12.03.2000,3,1,Volksinitiative,2004,Frauenfeld,4601,Neunforn,681,323,,,321,52,269,47.4
12.03.2000,3,1,Volksinitiative,2007,Steckborn,4841,Pfyn,1133,496,,,491,95,396,43.8
12.03.2000,3,1,Volksinitiative,2007,Steckborn,4846,Raperswilen,290,151,,,150,13,137,52.1
12.03.2000,3,1,Volksinitiative,2006,M�nchwilen,4751,Rickenbach (TG),1362,505,,,504,73,431,37.1
12.03.2000,3,1,Volksinitiative,2001,Arbon,4431,Roggwil (TG),1644,645,,,633,95,538,39.2
12.03.2000,3,1,Volksinitiative,2001,Arbon,4436,Romanshorn,5444,2230,,,2186,584,1602,41
12.03.2000,3,1,Volksinitiative,2007,Steckborn,4851,Salenstein,746,322,,,321,40,281,43.2
12.03.2000,3,1,Volksinitiative,2001,Arbon,4441,Salmsach,791,279,,,275,64,211,35.3
12.03.2000,3,1,Volksinitiative,2003,Diessenhofen,4546,Schlatt (TG),1017,446,,,440,63,377,43.9
12.03.2000,3,1,Volksinitiative,2006,M�nchwilen,4756,Sch�nholzerswilen,517,241,,,236,37,199,46.6
12.03.2000,3,1,Volksinitiative,2006,M�nchwilen,4761,Sirnach,3693,1448,,,1386,239,1147,39.2
12.03.2000,3,1,Volksinitiative,2001,Arbon,4446,Sommeri,352,174,,,172,30,142,49.4
12.03.2000,3,1,Volksinitiative,2007,Steckborn,4864,Steckborn,1993,831,,,815,153,662,41.7
12.03.2000,3,1,Volksinitiative,2004,Frauenfeld,4606,Stettfurt,685,288,,,286,46,240,42
12.03.2000,3,1,Volksinitiative,2002,Bischofszell,4506,Sulgen,2039,859,,,849,139,710,42.1
12.03.2000,3,1,Volksinitiative,2005,Kreuzlingen,4696,T�gerwilen,1933,777,,,761,134,627,40.2
12.03.2000,3,1,Volksinitiative,2004,Frauenfeld,4611,Thundorf,849,344,,,341,56,285,40.5
12.03.2000,3,1,Volksinitiative,2006,M�nchwilen,4776,Tobel-T�gerschen,851,334,,,331,29,302,39.2
12.03.2000,3,1,Volksinitiative,2004,Frauenfeld,4616,Uesslingen-Buch,753,342,,,339,44,295,45.4
12.03.2000,3,1,Volksinitiative,2001,Arbon,4451,Uttwil,956,409,,,403,71,332,42.8
12.03.2000,3,1,Volksinitiative,2007,Steckborn,4871,Wagenhausen,1031,445,,,441,91,350,43.2
12.03.2000,3,1,Volksinitiative,2005,Kreuzlingen,4701,W�ldi,620,304,,,300,27,273,49
12.03.2000,3,1,Volksinitiative,2006,M�nchwilen,4781,W�ngi,2552,1077,,,1053,151,902,42.2
12.03.2000,3,1,Volksinitiative,2004,Frauenfeld,4621,Warth-Weiningen,814,404,,,395,83,312,49.6
12.03.2000,3,1,Volksinitiative,2008,Weinfelden,4946,Weinfelden,6207,2773,,,2642,610,2032,44.7
12.03.2000,3,1,Volksinitiative,2008,Weinfelden,4951,Wigoltingen,1385,569,,,559,75,484,41.1
12.03.2000,3,1,Volksinitiative,2006,M�nchwilen,4786,Wilen (TG),1187,435,,,431,95,336,36.6
